structure,corner_1,corner_2,corner_3,corner_4,type
water_1,"0,0","180,0","180,32","0,32",WATER
maison_3,"89,49","101,49","101,59","89,59",MAISON
maison_2,"55,56","67,56","67,66","55,66",MAISON
maison_1,"18,35","30,35","30,45","18,45",MAISON
bungalow_5,"9,128","20,128","20,135","9,135",BUNGALOW
bungalow_4,"31,105","42,105","42,112","31,112",BUNGALOW
bungalow_3,"146,70","157,70","157,77","146,77",BUNGALOW
bungalow_2,"89,112","100,112","100,119","89,119",BUNGALOW
bungalow_1,"99,93","110,93","110,100","99,100",BUNGALOW
eengezinswoning_12,"170,115","178,115","178,123","170,123",EENGEZINSWONING
eengezinswoning_11,"33,139","41,139","41,147","33,147",EENGEZINSWONING
eengezinswoning_10,"135,53","143,53","143,61","135,61",EENGEZINSWONING
eengezinswoning_9,"75,102","83,102","83,110","75,110",EENGEZINSWONING
eengezinswoning_8,"50,85","58,85","58,93","50,93",EENGEZINSWONING
eengezinswoning_7,"26,53","34,53","34,61","26,61",EENGEZINSWONING
eengezinswoning_6,"113,90","121,90","121,98","113,98",EENGEZINSWONING
eengezinswoning_5,"125,36","133,36","133,44","125,44",EENGEZINSWONING
eengezinswoning_4,"79,132","87,132","87,140","79,140",EENGEZINSWONING
eengezinswoning_3,"126,90","134,90","134,98","126,98",EENGEZINSWONING
eengezinswoning_2,"73,151","81,151","81,159","73,159",EENGEZINSWONING
eengezinswoning_1,"15,138","23,138","23,146","15,146",EENGEZINSWONING
networth,8791350
