structure,corner_1,corner_2,corner_3,corner_4,type
water_1,"50,44","130,44","130,116","50,116",WATER
maison_6,"7,144","19,144","19,154","7,154",MAISON
maison_5,"54,116","66,116","66,126","54,126",MAISON
maison_4,"76,34","88,34","88,44","76,44",MAISON
maison_3,"10,103","22,103","22,113","10,113",MAISON
maison_2,"94,116","106,116","106,126","94,126",MAISON
maison_1,"37,67","49,67","49,77","37,77",MAISON
bungalow_10,"121,150","132,150","132,157","121,157",BUNGALOW
bungalow_9,"3,33","14,33","14,40","3,40",BUNGALOW
bungalow_8,"115,35","126,35","126,42","115,42",BUNGALOW
bungalow_7,"52,150","63,150","63,157","52,157",BUNGALOW
bungalow_6,"165,36","176,36","176,43","165,43",BUNGALOW
bungalow_5,"132,3","143,3","143,10","132,10",BUNGALOW
bungalow_4,"26,5","37,5","37,12","26,12",BUNGALOW
bungalow_3,"35,30","42,30","42,41","35,41",BUNGALOW
bungalow_2,"166,6","177,6","177,13","166,13",BUNGALOW
bungalow_1,"142,32","149,32","149,43","142,43",BUNGALOW
eengezinswoning_24,"170,81","178,81","178,89","170,89",EENGEZINSWONING
eengezinswoning_23,"87,150","95,150","95,158","87,158",EENGEZINSWONING
eengezinswoning_22,"131,97","139,97","139,105","131,105",EENGEZINSWONING
eengezinswoning_21,"137,54","145,54","145,62","137,62",EENGEZINSWONING
eengezinswoning_20,"134,111","142,111","142,119","134,119",EENGEZINSWONING
eengezinswoning_19,"166,141","174,141","174,149","166,149",EENGEZINSWONING
eengezinswoning_18,"146,96","154,96","154,104","146,104",EENGEZINSWONING
eengezinswoning_17,"149,70","157,70","157,78","149,78",EENGEZINSWONING
eengezinswoning_16,"169,58","177,58","177,66","169,66",EENGEZINSWONING
eengezinswoning_15,"147,107","155,107","155,115","147,115",EENGEZINSWONING
eengezinswoning_14,"3,66","11,66","11,74","3,74",EENGEZINSWONING
eengezinswoning_13,"150,148","158,148","158,156","150,156",EENGEZINSWONING
eengezinswoning_12,"156,58","164,58","164,66","156,66",EENGEZINSWONING
eengezinswoning_11,"147,118","155,118","155,126","147,126",EENGEZINSWONING
eengezinswoning_10,"131,124","139,124","139,132","131,132",EENGEZINSWONING
eengezinswoning_9,"2,3","10,3","10,11","2,11",EENGEZINSWONING
eengezinswoning_8,"148,133","156,133","156,141","148,141",EENGEZINSWONING
eengezinswoning_7,"130,69","138,69","138,77","130,77",EENGEZINSWONING
eengezinswoning_6,"138,84","146,84","146,92","138,92",EENGEZINSWONING
eengezinswoning_5,"101,2","109,2","109,10","101,10",EENGEZINSWONING
eengezinswoning_4,"157,82","165,82","165,90","157,90",EENGEZINSWONING
eengezinswoning_3,"53,2","61,2","61,10","53,10",EENGEZINSWONING
eengezinswoning_2,"170,124","178,124","178,132","170,132",EENGEZINSWONING
eengezinswoning_1,"165,102","173,102","173,110","165,110",EENGEZINSWONING
networth,22907940
